,authors,age
7437,2620,17
4303,4246,29
2790,132,9
5086,971,7
2106,4192,5
6498,3485,5
1437,692,11
3474,218,33
3550,1872,4
5582,4103,10
1305,862,21
1010,3790,7
5894,2042,16
1789,3588,10
3842,3549,8
4561,3200,34
6351,4043,6
4854,4235,11
4342,3808,22
6291,979,11
5908,2146,12
4218,2387,7
6381,4073,5
4274,2509,8
154,544,10
2926,2302,8
5083,3252,6
2983,2987,6
239,2224,24
5840,842,8
4866,1110,19
6499,2895,6
2841,1128,13
2006,4010,23
5209,1004,22
4379,824,4
870,1570,18
4313,3663,10
1184,3562,23
1544,1319,21
2266,1845,14
4109,3024,7
5665,2822,39
4658,4002,13
2415,1993,7
7983,2266,7
7554,3889,8
5055,480,11
902,281,21
6392,335,8
1421,1795,32
1283,3721,12
1638,1052,62
6129,927,15
2501,3448,4
1109,663,26
7363,2993,17
836,1232,18
3760,1854,6
2368,1622,21
5772,2286,10
4258,2020,5
1778,2188,8
4198,1512,8
1193,1116,4
2575,3792,13
5597,3383,5
5110,3150,8
5551,2663,13
7088,4256,4
7360,4286,10
5590,2512,30
7503,3627,7
4813,2831,16
7305,747,8
5471,4209,18
3719,1504,9
3291,1240,9
2326,3111,7
3206,2712,9
7986,1827,6
4935,4220,7
1795,4302,4
5579,545,86
3521,2007,9
7885,3302,5
4223,424,5
5223,551,25
221,1817,16
924,2161,25
7715,1254,15
3213,3696,6
2439,864,10
5339,1653,15
4549,895,13
2226,589,12
7484,3832,5
430,2815,22
990,1689,10
3011,3788,6
5017,3041,7
4489,1375,21
1394,891,146
2249,2230,12
7182,1072,13
3136,3766,6
4140,3333,12
5998,145,9
7092,424,5
5301,3705,8
4930,2198,8
3088,1025,21
5601,4254,21
792,1095,18
5094,1490,3
7690,1978,5
884,2320,7
5564,2036,19
4093,273,5
4908,2264,4
659,2757,21
2049,3275,7
4043,1990,5
4119,548,4
4756,2518,11
4369,166,13
5526,4159,12
4665,600,5
1543,4363,68
96,696,8
7294,1833,9
1353,1217,19
5811,1896,7
1054,2097,36
7119,1674,13
2725,3203,25
7158,1443,14
837,1232,15
1747,419,71
3259,3171,9
2724,3797,19
2281,4109,15
4145,358,20
1763,2932,19
109,1617,10
6839,1922,17
7459,2077,6
5741,3531,8
8006,1635,5
7930,522,7
8005,1736,7
2435,1450,8
3064,2200,10
992,1685,11
1397,3622,44
7205,3347,22
19,2876,41
3495,2491,25
672,2389,12
2375,2324,20
6617,1897,10
5623,3403,19
5391,2511,11
1828,460,14
5203,2410,19
7941,3928,11
794,855,28
2786,518,9
5050,3565,26
6226,2810,9
7558,1910,5
7365,3826,6
3775,258,13
6261,2777,3
1582,1546,3
6342,1561,3
3696,1724,11
1573,189,20
4350,2254,17
793,2088,16
949,603,4
6718,1349,26
1745,1022,12
4560,3200,13
1629,2737,8
1868,854,3
3678,3556,6
4841,594,24
3390,2130,15
5483,2393,34
2255,2855,12
3147,2696,3
38,2625,19
242,3736,8
3435,721,5
4298,965,17
5756,637,17
4900,4193,22
1713,2718,8
6689,622,14
392,1911,20
445,1069,24
3538,2731,8
3340,2402,6
5621,887,16
6269,1206,6
4688,3183,7
512,1884,42
5231,1277,11
7874,3373,5
2480,1713,6
5262,3527,10
391,3550,8
700,2566,15
6925,3917,4
2874,3033,15
7270,937,6
7404,457,10
1640,1923,16
3823,4284,10
2206,4267,21
7936,4146,7
4800,3730,18
2442,803,10
7017,530,5
7273,1432,3
7772,2758,8
6433,2066,8
7664,3652,6
112,2997,39
4728,39,17
12,4273,15
1005,909,15
1866,495,24
876,1296,9
5885,1790,71
1483,4291,3
3000,453,12
3857,3072,9
7682,2193,8
3933,3715,5
5594,2606,5
6184,3566,3
5159,834,18
840,1232,13
1068,3270,24
728,3973,13
908,3120,7
2382,2544,5
1898,3545,59
3049,2071,27
4044,2828,8
6954,1350,18
4012,2560,6
4639,1275,13
1167,4246,29
7214,2821,12
1993,838,32
4883,312,6
1964,2300,28
3447,3616,7
2757,372,4
7093,1347,23
452,1466,8
6796,1296,9
337,4105,9
2641,4007,5
7254,738,7
2323,1369,13
5634,3426,15
1348,565,19
529,3530,5
3518,1267,12
991,459,6
3241,408,8
4496,2210,15
1529,1546,5
6876,4144,11
6144,3434,6
3922,1916,7
5630,1818,29
5160,3152,11
2860,871,5
1739,1631,5
7594,1591,7
7543,2330,8
1825,1294,16
7450,3702,3
5224,552,13
3052,30,19
1124,2649,26
4264,2194,16
3228,3679,7
6472,3326,8
4459,2715,11
2772,38,15
3534,1346,24
1389,3892,3
7477,2091,37
1996,1700,17
996,1029,13
7302,1188,20
7473,2507,6
3693,3895,44
7956,2280,5
551,1792,20
978,3774,12
366,3819,30
3926,1342,7
7547,2616,6
5144,2145,23
1402,3516,13
5246,1081,23
3188,4122,17
7947,2325,7
7275,1684,5
943,1975,7
7458,1228,12
1892,1943,39
180,1038,12
1668,2237,22
6089,596,6
7964,761,6
2580,4003,13
2058,1581,9
5156,4252,649
1756,1661,8
683,742,4
3127,1346,19
5283,3755,8
476,360,34
1888,3869,13
2330,1799,5
2310,2846,10
5589,1312,21
2156,1634,7
6574,2202,11
7480,1059,8
6539,672,5
3275,2071,24
690,1433,11
2148,3193,10
1358,456,5
554,2602,12
6442,990,11
1585,2894,8
4507,2259,17
5383,4379,29
969,1097,25
7685,3158,7
470,2542,6
5637,3986,4
5495,3756,8
323,2339,11
5671,3902,17
1787,1170,17
5210,3297,8
7324,1619,5
7970,718,5
2472,2060,14
5930,175,17
6943,3384,8
7890,2926,8
6566,1313,6
1205,3999,5
5615,4011,4
1196,1332,6
5632,3845,7
1128,981,10
763,190,8
1396,1288,3
5967,3062,14
7934,2672,7
2262,728,11
7386,441,3
2202,1112,7
3792,2668,51
7832,3593,15
240,3431,7
4645,3273,7
1026,219,9
6110,357,13
5577,1316,15
7081,3395,7
3617,3690,7
5218,1248,18
5616,688,4
1201,1167,4
1702,1783,13
4292,3140,8
3979,2667,9
1113,3727,21
6889,3278,9
6296,2513,6
835,1232,15
6333,2020,7
5545,2289,12
4361,4202,6
756,2093,20
1913,3006,6
3811,3377,7
3995,2703,16
7428,369,8
2201,1055,7
7411,3711,6
6778,3358,5
7632,956,13
7383,2115,13
2195,1205,7
3285,2664,9
3449,3955,5
7592,3780,34
5417,2553,38
7481,509,17
907,1239,64
6155,1803,9
953,1983,22
75,96,15
7705,3173,7
7179,2274,9
1743,3146,11
2921,2974,3
4404,1238,11
4708,2061,8
2596,1209,13
2475,2912,14
7241,1509,9
4144,358,14
6227,751,6
7688,4333,6
4681,659,13
1876,2297,5
1653,2632,12
3260,1801,8
3994,2703,17
2585,3794,7
5371,3940,53
7067,2812,9
5573,1265,28
4340,272,15
7204,2453,6
1818,4154,3
1691,261,15
2410,1229,41
7103,3473,4
4917,323,7
1224,4020,3
6112,1042,11
2889,4250,16
5255,4227,30
2619,1132,9
785,4032,25
149,316,17
281,1656,4
7043,3781,6
5788,3758,6
7681,2543,3
2332,2944,17
2162,878,6
1781,3899,5
61,2875,10
5177,216,14
5644,2902,10
1672,3995,15
2398,3078,7
670,1947,9
405,1279,9
1805,4355,22
2109,1114,5
2691,2485,12
3971,1498,11
5842,2630,16
4919,275,11
6805,3969,7
2953,678,29
6494,2329,5
2400,889,9
1860,2417,10
4222,4193,25
6744,3179,8
3395,3579,6
587,507,14
2301,278,14
422,2748,18
7620,241,9
5379,3852,12
973,964,9
6044,958,3
7703,2713,8
2904,258,6
3512,3793,5
116,2927,39
2094,2519,2
7187,442,10
4387,3576,4
3675,2641,9
5058,794,13
163,1096,12
7502,1881,8
4449,3218,9
2770,3732,7
1085,1918,14
6753,3613,30
7322,1675,12
5279,579,5
2640,841,5
4929,2935,9
2637,1629,11
2897,418,14
360,2659,6
1560,1247,35
6893,3435,7
4655,1111,16
1120,4114,10
5057,3411,5
5171,4041,28
2018,1695,14
6928,1303,21
6697,3493,6
5689,85,21
1072,687,5
1303,2236,23
5538,3949,6
3565,3969,7
1630,3255,17
3919,881,13
741,2357,21
7555,584,3
2781,3635,5
7416,442,19
2044,2190,7
4593,1855,9
3834,1711,6
5294,1763,30
3620,615,3
547,3540,7
5282,3427,10
5334,529,33
3663,115,13
6356,3212,3
5673,3737,6
6647,3958,6
5142,2010,5
7952,716,7
2591,2777,8
6853,1908,8
2776,2166,4
5366,2209,25
7094,1347,25
7149,2038,6
367,4070,5
210,1178,13
2220,3078,10
5574,2026,6
3845,929,8
1404,4016,20
3706,3912,4
6422,1701,6
4758,4205,5
5198,1963,9
255,2941,18
2444,1266,5
5876,3922,14
447,1146,12
5535,2487,10
4428,2311,10
5288,1183,25
7264,2382,6
1487,840,17
2810,2111,17
3265,1729,7
3120,945,9
6686,622,15
5470,439,54
1893,4259,17
1897,2352,5
325,435,11
6653,95,11
7904,1808,9
1448,88,15
8002,3280,6
2615,132,11
5263,1933,4
2245,3141,9
2834,3654,7
3898,3102,5
4877,377,27
4550,1193,11
5878,3932,32
4060,2949,10
5141,1936,14
5352,567,12
1208,1170,5
6310,2278,3
1522,974,7
641,2164,15
6196,329,5
272,767,36
3084,3178,8
1967,3128,8
1456,1807,45
7253,2515,4
1959,1315,15
107,3722,6
433,1592,13
5477,3920,20
3624,4144,11
6092,3362,5
4647,2293,10
5572,676,18
1079,2187,10
6636,123,14
1903,1177,13
6115,432,5
1074,3620,21
4002,826,10
7439,1829,5
5101,140,9
5373,425,5
1299,102,6
2675,407,4
5865,2373,20
5437,694,34
1415,779,21
55,1561,8
4580,275,60
2424,1506,17
7700,2149,3
2159,3799,22
7029,1263,14
7059,944,15
7892,403,5
5350,2440,55
4120,1809,60
6506,2363,9
6015,3401,6
7897,1978,5
5833,1035,22
5005,801,133
1132,641,4
1590,475,14
5847,3132,9
6473,1579,6
4963,26,32
6694,3822,6
1840,1965,54
2567,350,8
6795,894,13
3652,4249,94
7960,2142,15
7283,4150,19
53,2431,8
3424,1475,5
7798,3363,8
1319,2956,37
4100,933,5
5021,913,30
1214,308,21
1904,3016,11
5512,4377,14
1473,1832,11
4672,437,8
3855,1283,15
6641,3658,6
4742,969,25
105,4344,5
1023,1725,21
2229,4067,3
3222,831,8
786,4281,21
6906,1232,13
1207,2908,4
869,2989,9
1454,4232,8
2217,2619,6
2789,3996,5
2741,252,8
7818,3502,23
6732,3253,13
201,2947,13
2009,1368,4
3886,2439,9
4769,212,34
5645,3135,59
4501,4322,14
1569,4298,8
2069,1123,4
7501,2192,5
6428,547,5
1409,2125,9
6098,2824,16
4372,3359,8
2882,1902,5
2408,3508,6
3815,1651,9
223,1068,4
6959,3739,7
4486,4337,18
6806,2530,8
5216,3942,11
3392,672,5
130,1127,32
2636,294,6
1949,1686,9
7612,4211,7
963,3101,11
5249,2392,7
4771,2691,12
3530,1863,28
5485,2813,9
18,3338,5
493,2938,25
5679,3331,7
1428,4196,7
1417,2379,26
3382,2162,8
2643,4038,10
7677,3285,5
788,1261,11
6592,3518,7
4737,2594,50
6434,1124,8
5518,1419,17
3055,2657,11
6207,359,11
1971,2397,6
1009,1541,44
2854,2572,3
7461,546,12
1327,3488,7
478,4218,6
1555,330,14
7905,3445,7
1154,4152,16
5727,3109,58
4738,692,11
1096,358,14
3482,3823,7
750,1492,11
6346,3602,6
3374,2887,38
3833,221,10
1673,90,24
2537,1481,28
2906,1169,13
5233,3557,28
3804,1646,3
3504,912,34
1466,13,11
4424,3167,12
2670,1945,5
2212,2103,6
5149,2570,9
1043,3311,15
4046,1410,8
1908,1259,14
7476,2429,27
1663,1516,7
389,4086,24
1075,1636,9
7762,2062,6
1498,4318,5
7569,2897,6
3594,120,18
7367,3860,14
1999,4020,28
1261,1645,7
724,775,15
3092,3733,26
2862,3846,8
2744,661,13
5971,575,7
2607,1364,5
1110,664,13
1351,79,32
3071,1465,9
2209,3,13
6292,1656,4
1608,1379,10
7866,3173,6
3115,2195,4
7433,830,10
1262,3541,5
7689,1759,9
5185,1846,8
4978,1532,11
6643,3782,7
7493,2425,4
893,1517,5
6520,108,9
2191,1462,8
1948,3119,18
4887,4235,14
3595,3612,7
5473,4188,21
7524,2582,9
416,3596,9
1267,825,13
7345,221,10
7369,3860,17
6844,2515,4
1980,846,6
4740,3406,8
7011,2246,6
1880,1067,14
998,4164,13
3498,890,9
5557,975,21
4110,3218,8
7692,1573,5
1464,3993,25
1723,711,10
7105,3171,9
1122,1976,9
5600,4261,14
1334,2183,44
3307,3707,6
4817,901,7
5328,3903,30
4244,250,8
4200,2080,4
7574,2696,5
7621,3254,29
4755,2282,5
7020,1037,7
5649,3185,5
4478,1825,58
2081,2777,3
7463,2063,4
3037,1650,9
4096,2174,8
7494,2174,10
5546,1166,12
1595,805,13
2938,42,5
1484,2426,37
5607,702,10
352,3148,8
4511,4371,17
7835,3393,5
5508,3812,31
1231,3975,23
2815,2814,4
4186,423,16
5464,1343,15
6768,1842,8
7704,2260,9
4074,1359,11
3453,1810,8
1490,92,4
7921,192,12
5265,1673,18
1819,3428,3
3626,2991,9
5000,4307,7
1621,1054,7
4173,39,43
5956,782,11
3230,1236,61
5122,1586,9
2297,135,9
1042,2854,53
6056,1561,8
5355,2709,14
7359,2904,8
383,3821,34
2338,138,12
1886,3117,5
3334,1815,7
4858,4274,31
7397,4342,5
1512,182,36
4309,1005,7
1227,1031,3
49,2848,7
2034,287,6
5496,1203,19
2350,883,3
4491,1375,47
2879,1539,19
7309,1795,32
3881,3432,5
5636,3425,15
1016,497,12
1784,907,25
5034,2472,14
5270,3944,10
4856,792,6
6156,1611,5
7853,2052,8
2053,2104,7
6364,1192,11
2803,3214,9
2599,280,5
1935,1306,21
2763,3337,5
6788,4339,6
3399,4313,23
7407,704,8
7847,2879,9
6357,333,11
3313,1865,19
3751,259,7
2603,3115,4
2877,4039,6
1565,1459,7
1975,1000,11
4014,327,7
2467,1957,18
3351,3133,7
3124,3837,8
1083,972,21
2849,1888,10
4537,40,12
3998,4075,9
5487,3956,11
3897,2090,13
6534,3139,6
558,2982,10
5217,1537,17
5801,3787,4
1942,1952,10
5087,2389,12
2898,1363,4
6910,3443,8
5273,405,17
5720,1869,6
4508,3882,24
1018,3230,9
5755,1999,53
3903,1665,10
4661,3982,5
6119,3685,7
3162,31,22
455,1328,32
4403,1015,17
1596,1870,22
7899,462,15
1441,2435,23
3965,679,7
1203,513,8
1773,1649,10
2180,2457,10
3038,1839,9
7966,2037,10
6825,1731,9
4360,3769,6
463,2329,5
4188,33,6
5316,2396,16
7871,412,7
3467,3173,12
3499,1732,9
810,619,23
1855,282,5
7655,4243,6
555,1878,5
662,4093,5
7357,1437,70
5514,4341,39
4441,1827,3
4987,1411,10
5991,2773,8
2272,214,10
4238,1688,8
5763,1201,50
7696,922,3
6198,380,17
6655,3325,27
831,818,20
7791,2213,6
7843,717,12
4787,3647,10
5740,3927,7
3611,920,9
5502,3427,5
6166,1058,13
636,242,37
7702,230,4
2614,3410,4
5941,1640,7
185,3031,19
2168,1571,44
933,3369,8
1854,1967,5
7706,2856,8
4267,275,9
488,2025,14
5997,2232,10
7581,573,4
7731,3570,6
1287,4257,12
2833,1826,5
694,3851,3
5493,2589,11
7852,3784,34
1191,4140,4
7004,2356,7
4164,1359,4
1127,831,8
3201,3480,16
4829,2639,7
6869,2464,4
3422,3507,8
5554,1846,4
5461,3771,24
2061,380,23
6423,1390,7
3935,2115,13
3500,142,5
4946,592,4
2609,1045,12
2374,2977,1858
3289,3149,8
249,3125,7
402,3147,9
3195,3682,7
637,2215,47
7079,2970,6
658,3911,11
3920,1153,10
841,556,16
264,3209,10
198,316,5
1744,4336,3
3252,4142,9
7098,4142,9
6949,2309,7
7991,2959,3
2536,4106,13
3157,1109,16
450,3316,40
4702,2532,16
3891,3840,5
1859,1771,8
3337,912,46
4927,268,5
7601,2041,6
5139,4356,13
6315,2296,6
712,777,14
4556,4308,18
5778,3678,5
4288,1904,8
1335,993,8
771,3490,8
2075,1657,3
4113,3535,10
3103,1394,24
2119,1811,9
2655,3945,6
6532,989,13
3798,3772,3
152,2359,10
3884,2461,7
4166,2524,8
742,787,8
3353,1395,13
2103,651,11
401,3043,17
676,1939,17
7565,2139,9
1138,1347,23
5646,1752,14
1602,3523,8
7551,2065,8
7382,3307,12
7183,677,4
7915,1502,9
611,2924,9
5042,1061,21
309,1626,13
334,2612,9
368,4174,15
6158,3190,3
5901,4091,6
5898,4384,45
6606,2911,9
3827,4034,8
6585,3227,11
2857,2890,14
626,3020,36
7064,1737,4
4905,1243,15
3261,1535,10
5822,2772,26
7586,2718,8
6018,3667,9
7626,2817,19
5143,2145,47
4163,3323,19
2389,1171,4
6854,4352,6
535,3227,11
36,1493,34
7756,3110,13
5111,4229,10
5896,228,6
766,3268,6
2121,1937,20
4315,3136,29
5486,4068,17
4445,2284,8
6459,3137,6
5988,4126,16
7841,3087,8
2348,57,5
6416,3495,3
989,3631,10
7021,1650,9
3711,3123,7
6590,3371,7
6257,2963,7
1294,3412,11
1105,1541,45
7707,3173,7
6975,4147,5
7185,829,6
5936,4128,23
613,2847,13
5921,3738,72
209,3745,7
7793,522,9
140,2467,9
6613,4185,21
340,2475,9
6833,3032,19
5046,1033,5
7252,1919,15
3448,4179,13
2618,1132,9
208,2133,13
6399,48,8
1462,4319,5
4077,422,3
4503,281,16
3896,3827,31
2025,3802,3
5617,3048,6
2627,303,9
3591,1738,9
11,857,18
6440,388,8
253,1715,10
6124,4100,6
5627,3671,18
6320,3880,4
6140,4027,4
2219,1267,12
6709,1859,11
4722,2838,6
7588,1602,11
666,269,37
3820,2403,10
3503,2597,7
2223,657,6
2127,1733,8
3656,1008,9
4525,2990,12
6597,997,14
7782,1021,6
2544,1618,7
4216,2651,6
644,1956,4
6926,915,9
7743,1887,6
426,2690,8
2,511,14
2460,2231,5
5949,3327,20
7151,2151,4
2962,2778,7
7131,3712,5
7881,1873,10
1173,2905,4
3389,3567,8
3645,3461,7
3660,2370,17
6317,1858,5
6486,2099,8
901,2122,17
2508,258,6
4710,4196,7
2470,731,16
7779,1227,9
3075,4372,3
1089,466,8
5108,1814,9
6610,232,7
4481,3779,6
1326,3335,12
3130,2734,10
7668,778,6
2512,3910,6
169,943,19
527,2430,9
7327,2540,8
2380,3269,7
6699,2173,4
2952,3089,20
6682,2480,7
3584,3569,7
5993,1966,17
4245,3319,13
4784,1010,32
3673,4002,13
6052,1839,9
3765,2418,9
7585,2262,6
2179,2457,10
2957,2865,13
7894,2790,6
4982,4205,6
52,724,24
5631,1134,47
7589,1684,5
7613,2475,7
1566,2043,7
495,3810,17
7256,521,4
5349,1969,14
714,1001,7
934,508,6
4644,3519,3
5048,2694,9
274,2858,23
2407,3429,10
7603,1625,9
6068,1538,6
1378,2138,10
4574,2490,9
1491,92,4
4079,1988,11
5899,3590,32
3872,2904,8
3128,2508,6
7842,1212,29
6143,3434,6
900,1210,18
477,3229,6
6799,398,5
896,1273,23
4300,558,10
3116,2114,8
7408,654,7
4438,1714,10
6793,895,16
1284,1868,17
2561,3513,16
6882,4375,4
5730,4303,10
2204,1488,11
5123,833,52
1455,1807,14
3013,3401,6
2221,1486,6
1342,3908,11
3579,3415,6
2479,1360,14
6575,3450,8
2756,134,5
7903,7,18
4234,3709,5
6332,408,8
2748,2939,8
7284,4150,18
6404,21,19
6224,1946,4
7180,546,10
4001,1269,8
7035,2334,8
951,1290,13
1962,3824,6
2261,3800,10
7667,345,16
7193,1358,4
5599,3035,8
5807,4370,6
6552,1443,14
4468,3218,9
610,2924,9
2947,1115,10
1002,1064,11
1863,1099,24
5785,2398,12
2123,3413,4
4161,1018,14
2704,872,18
6763,2706,5
3900,206,11
1684,4297,29
4377,4234,10
3588,2556,3
5559,795,13
2554,1785,11
3106,3479,18
6316,2552,3
2283,4109,16
3602,4352,6
2605,1182,4
5505,3232,24
7651,1567,23
4284,181,9
4986,3217,11
985,1041,19
7884,3904,6
6400,4212,6
3072,1665,3
1000,810,4
6829,3376,5
2726,1727,11
2924,3635,3
1211,2086,7
2487,2676,11
2243,4374,8
7824,3235,12
5463,2250,8
3057,808,9
2547,3077,9
4500,3882,19
275,4167,7
1292,946,17
7654,1632,9
3068,1940,12
5877,3921,13
3564,996,9
7479,1981,4
5799,1221,13
4272,1426,18
6490,2101,8
957,1778,7
7106,2478,10
6468,3389,6
6721,336,26
921,3768,11
6723,438,5
3468,1462,8
3585,2340,8
3108,410,9
6991,2161,25
2125,1114,8
4598,1924,4
6804,996,9
6645,3468,7
1176,406,5
1183,4260,10
1576,1857,16
2401,299,9
513,283,18
3916,39,32
3721,2114,8
5392,666,5
6659,3186,5
7436,244,5
1119,4354,17
6662,3325,8
1008,786,12
5530,3943,6
7755,2325,9
6289,2495,5
1458,3751,13
3231,928,11
7757,55,21
5260,4136,56
5176,630,11
2806,3172,9
1258,1264,5
2386,735,8
7679,482,4
3216,4000,24
5819,1528,19
4396,3388,22
4641,133,11
533,2123,14
3784,3208,17
346,3328,16
4414,4315,23
2678,1692,9
3928,504,11
1878,1508,12
3058,2764,9
1179,3529,7
6965,1210,18
5942,1932,10
2185,1714,10
3344,3433,8
4177,3218,10
3440,1620,10
7514,1142,8
1738,3097,41
2276,3309,7
4,2849,8
3750,2196,7
5846,802,29
3112,1219,14
2404,2029,5
246,1457,19
7525,237,8
1159,3281,6
4757,270,14
4488,2427,5
5025,3548,10
6756,2383,6
656,4328,19
1257,2082,9
2592,81,4
3950,1080,9
6014,2884,7
2239,2068,5
632,3202,8
315,1223,20
5052,1066,9
3255,4129,41
6465,1802,11
7540,1477,30
1687,533,4
7409,568,7
2985,3091,9
6321,2567,4
7942,11,23
4697,4381,42
3776,4347,13
1212,2938,19
6479,3372,7
5926,1565,8
3506,3151,8
4480,930,6
4088,3242,6
3801,2270,3
2300,1197,5
2839,759,4
7451,3028,6
1143,1753,34
4199,3803,8
4617,2914,9
5717,1454,13
5405,3287,15
6899,4130,6
4846,4262,9
1045,2531,22
400,1181,9
3580,2469,9
1162,2217,7
6222,932,6
7761,599,8
2417,4224,11
7072,1862,16
6765,2607,5
4721,137,7
903,281,32
3796,1408,7
2753,3866,6
5527,4294,12
2163,1920,12
7087,2296,6
3016,1065,8
3350,1282,10
2497,2247,6
7649,3878,9
7471,671,5
1246,1407,4
8003,193,7
4726,2156,7
24,3914,12
1768,3688,7
7038,2781,7
7980,4054,5
1449,950,11
3485,1645,7
6652,512,13
1188,1706,20
6323,1120,4
6568,3017,8
2606,510,7
5959,4028,11
7036,1403,7
873,4214,24
4684,659,14
3184,929,10
3674,155,19
7291,1954,13
2912,1861,5
4611,541,11
6385,2896,5
7352,2148,12
4533,4242,17
1324,4060,5
3242,1114,5
2569,231,35
2084,2181,13
1887,4051,12
3193,141,9
3873,2977,1858
7423,4283,11
5610,1204,5
1337,83,13
2128,985,11
859,1637,6
4319,84,626
2909,813,8
2665,3484,7
2911,4119,11
1618,3270,26
2129,649,8
2494,757,9
7317,1422,25
6116,2825,8
7469,501,11
7153,2681,7
782,1514,12
7034,3104,7
3082,2290,5
804,364,11
843,4135,13
5955,3082,14
2970,233,9
6373,2659,6
5703,1185,33
4051,876,44
3497,3026,16
6990,3768,11
7330,3208,17
3173,3440,6
775,1968,10
3704,2733,11
5067,1779,32
5167,113,29
7783,2271,9
266,1880,13
3943,2827,10
4433,2313,25
6492,2492,8
5466,1836,24
818,3296,4
1714,217,11
7911,2053,16
6225,2294,6
2429,43,6
674,3367,8
6362,3319,13
722,2285,9
7347,4269,8
5375,2585,24
1194,3516,17
5513,4296,18
4951,4092,5
7912,4282,9
1080,223,32
4904,2002,4
3850,1427,10
7351,1759,6
5389,2253,38
6008,337,15
2489,205,6
5385,527,10
1011,3790,7
5361,4082,12
7559,3351,5
5504,238,11
3732,3206,11
4150,3320,10
386,117,7
612,4232,13
4529,3436,4
752,691,5
5252,1648,27
2344,1646,3
48,524,15
413,3528,13
6731,988,4
1547,452,62
77,2482,5
7999,4346,3
4066,849,5
2019,3559,9
6847,832,17
5178,3674,13
4648,2320,7
1331,4177,23
7910,2053,11
5686,3853,8
2886,2617,18
2804,1385,8
6146,486,5
2692,304,9
4779,4148,6
3569,910,10
2134,3666,12
574,1322,9
675,1254,13
2549,4338,8
4422,515,7
5841,3844,21
4967,1400,24
4241,4030,13
5598,931,3
438,96,14
5989,3442,6
5107,1616,5
6219,1671,9
6287,2752,4
4663,3391,28
4019,1398,16
5945,3457,14
4065,2265,23
7393,918,6
195,3568,11
3767,557,4
216,4206,6
1762,2933,15
1666,1587,7
5281,2276,12
7834,2272,9
6832,1456,9
7431,914,17
3562,257,6
4947,2833,23
3333,3231,10
4777,2295,5
3559,4240,8
2932,3857,5
1780,956,13
1276,3521,12
5258,1126,30
1275,3476,16
2182,3591,3
5184,338,9
3433,1282,41
2312,1308,12
3666,3173,16
7928,652,5
1377,164,17
2602,1574,4
127,1718,7
3831,2182,14
6785,1723,5
2885,3786,9
5943,4170,9
1923,1513,6
1461,3807,18
639,1518,12
6931,1361,10
1472,4332,22
4197,2765,15
7307,94,12
167,1058,13
7929,2120,10
5027,1559,42
4263,1301,15
362,2415,7
5541,934,10
5346,500,3
5900,3266,28
3436,3874,3
5503,2593,17
4589,3251,21
2406,41,17
3325,2905,4
615,3543,35
4759,150,7
2621,3040,9
2420,3632,8
5929,174,17
3181,3814,7
1559,3933,32
7644,2564,11
3725,2936,4
301,3086,20
4085,2210,14
3606,521,4
6467,2756,7
1117,1531,12
7815,680,11
4547,895,16
3158,3983,6
4912,4099,12
4444,1003,6
1133,378,13
7898,654,9
3450,2112,18
2440,2590,9
3347,2117,7
6601,3517,5
7868,1635,4
7995,3455,14
7597,3138,4
5296,3184,8
7699,3087,6
4515,2586,5
6237,4279,6
4564,3569,7
2169,1572,46
2891,1708,12
6530,2162,8
883,2972,7
739,673,4
2517,3636,7
1989,2526,8
1553,4213,4
1562,3114,9
5044,1953,35
437,1050,11
6987,1660,19
7335,3289,7
7948,806,11
3114,2476,9
6860,3971,12
679,742,4
1541,2398,13
4989,3118,13
310,3951,17
2026,2949,10
6176,3219,6
5919,210,25
5422,465,35
5133,2588,13
3533,4290,11
1022,725,19
1890,3075,8
7229,4061,11
5307,3909,5
7430,3511,15
4594,993,8
4081,2210,18
7593,1973,10
6325,888,4
5940,2798,19
6993,815,4
4437,2315,25
1471,3354,18
5444,1644,22
5751,4139,11
3991,4132,20
4855,1320,4
1793,1012,12
7226,2730,7
2105,2776,5
4442,884,15
7491,829,4
1310,537,25
4602,2940,7
6322,3074,4
4018,2714,22
4651,1309,6
7406,1091,6
4289,516,12
6060,2011,10
4918,4009,4
1370,2235,7
5436,1158,18
3083,2962,9
7610,2759,7
1065,3282,17
215,3938,18
6649,1668,8
5603,75,14
6005,638,18
3987,4132,16
243,608,19
5064,4133,10
1956,3315,8
5733,110,3
1424,560,7
4962,2496,6
1882,3497,6
1631,1145,26
7998,2543,10
6777,1142,11
7752,2508,8
3042,3789,7
435,3249,8
371,2537,40
2861,300,5
3851,1761,13
5581,54,49
3917,1333,17
2956,2865,14
7901,2633,6
7803,2684,4
4068,3820,4
1067,1448,10
5398,2708,16
5186,1280,9
5253,925,12
5125,173,22
5297,662,5
6812,910,10
1584,1491,3
2958,2865,13
5006,845,5
4667,3439,7
3988,2504,18
2998,3321,5
1895,1231,25
2445,624,6
5850,2869,36
2951,3939,5
4597,2922,28
4179,363,7
1289,1040,28
6426,2809,3
3524,4289,12
7720,129,9
6881,2493,6
7389,829,8
2902,992,22
5066,3716,7
3724,1405,11
737,697,4
854,2323,25
3773,3480,26
1774,225,15
73,2054,16
938,3947,8
3372,2151,4
187,3262,7
3432,1615,6
2639,355,7
665,269,40
1894,4182,21
3846,880,23
6545,3530,6
4281,2119,5
7567,3298,5
1050,3267,8
3352,320,6
2077,292,13
7438,126,9
